Código;Marca;Descripción;Proveedor;Fuente;Peso;Descripción Completa;Categoría;Subcategoría;Observación;Normal;Oferta;Pack;URL Foto Producto
293680;Carozzi;Fideos Espirales bolsa;Walmart;Lider.cl;400 gr;Fideos Espirales bolsa 400 gr;Pastas;Pastas Cortas;; $690 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3279a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
293661;Carozzi;Fideos Cabellos de Angel;Walmart;Lider.cl;400 gr;Fideos Cabellos de Angel 400 gr;Pastas;Pastas Cortas;; $690 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2737a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
264194;Talliani;Fideos Spirali con Huevos Frescos Bolsa;Walmart;Lider.cl;400 gr;Fideos Spirali con Huevos Frescos Bolsa 400 gr;Pastas;Pastas Cortas;; $700 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2689a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
286090;Lucchetti;Fideos Espirales 56 Bolsa;Walmart;Lider.cl;400 gr;Fideos Espirales 56 Bolsa 400 gr;Pastas;Pastas Cortas;; $660 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/296751a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
260874;Lucchetti;Fideos Espirales Trisabor Bolsa;Walmart;Lider.cl;400 gr;Fideos Espirales Trisabor Bolsa 400 gr;Pastas;Pastas Cortas;; $660 ;;2 x 1.090;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11493a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
430302;Carozzi;Pack 3 Spaghetti + 1 Salsa de Tomates Pomarola;Walmart;Lider.cl;;Pack 3 Spaghetti + 1 Salsa de Tomates Pomarola ;Pastas;Pastas Largas;;;; $1,990 ;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/549479a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
286761;Carozzi;Pasta Vitaminizada Spaghetti 5 Bolsa;Walmart;Lider.cl;400 gr;Pasta Vitaminizada Spaghetti 5 Bolsa 400 gr;Pastas;Pastas Largas;; $690 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2713a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
264222;Talliani;Fideos Spaghetti 5 con Huevos Frescos Bolsa;Walmart;Lider.cl;400 gr;Fideos Spaghetti 5 con Huevos Frescos Bolsa 400 gr;Pastas;Pastas Largas;; $700 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2685a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
260879;Lucchetti;Fideos Spaghetti 5 Bolsa;Walmart;Lider.cl;400 gr;Fideos Spaghetti 5 Bolsa 400 gr;Pastas;Pastas Largas;; $660 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/10703a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
242087;Lucchetti;Pack 3 Spaghetti N°5 + Salsa de Tomates;Walmart;Lider.cl;;Pack 3 Spaghetti N°5 + Salsa de Tomates ;Pastas;Pastas Largas;;;; $1,990 ;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/268242a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
311058;Pomarola;Pack 6 Salsa tomate tradicional;Walmart;Lider.cl;200 gr;Pack 6 Salsa tomate tradicional 200 gr;Salsas;Bolsa;;;; $2,190 ;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/217a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
293379;Pomarola;Salsa de Tomate Italiana Bolsa;Walmart;Lider.cl;200 gr;Salsa de Tomate Italiana Bolsa 200 gr;Salsas;Bolsa;; $430 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7923a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
293379;Pomarola;Salsa de Tomate Italiana Bolsa;Alvi;Alvi.cl;200 gr;Salsa de Tomate Italiana Bolsa 200 gr;Salsas;Bolsa;Normal > 3u , Oferta > 6u; $269 ;239;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7923a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
286090;Lucchetti;Fideos Espirales 56 Bolsa;Central Mayorista;https://centralmayorista.walmartdigital.cl/home;400 gr;Fideos Espirales 56 Bolsa 400 gr;Pastas;Pastas Cortas;; $500 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/296751a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
546573;Lucchetti;FIDEO 5 SPAGHETTI + SALSA;Central Mayorista;https://centralmayorista.walmartdigital.cl/home;400 gr;FIDEO 5 SPAGHETTI + SALSA 400 gr;Pastas;Pastas Cortas;;;; $2,400 ;https://accountecommercedev.blob.core.windows.net/products-images/images/780250022285.jpg
293661;Carozzi;Fideos Cabellos de Angel;Central Mayorista;https://centralmayorista.walmartdigital.cl/home;400 gr;Fideos Cabellos de Angel 400 gr;Pastas;Pastas Cortas;Mínimo 5 unidades; $599 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2737a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
293661;Carozzi;Fideos Cabellos de Angel;La Caserita;caserita.cl;400 gr;Fideos Cabellos de Angel 400 gr;Pastas;Pastas Cortas;; $611 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2737a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
293680;Carozzi;Fideos Espirales bolsa;La Caserita;caserita.cl;400 gr;Fideos Espirales bolsa 400 gr;Pastas;Pastas Cortas;; $612 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3279a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
286761;Carozzi;Pasta Vitaminizada Spaghetti 5 Bolsa;La Caserita;caserita.cl;400 gr;Pasta Vitaminizada Spaghetti 5 Bolsa 400 gr;Pastas;Pastas Largas;; $611 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2713a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
286090;Lucchetti;Fideos Espirales 56 Bolsa;La Caserita;caserita.cl;400 gr;Fideos Espirales 56 Bolsa 400 gr;Pastas;Pastas Cortas;; $535 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/296751a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
260879;Lucchetti;Fideos Spaghetti 5 Bolsa;La Caserita;caserita.cl;400 gr;Fideos Spaghetti 5 Bolsa 400 gr;Pastas;Pastas Largas;; $535 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/10703a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
264222;Talliani;Fideos Spaghetti 5 con Huevos Frescos Bolsa;Central Mayorista;https://centralmayorista.walmartdigital.cl/home;400 gr;Fideos Spaghetti 5 con Huevos Frescos Bolsa 400 gr;Pastas;Pastas Largas;; $699 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2685a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
264194;Talliani;Fideos Spirali con Huevos Frescos Bolsa;Central Mayorista;https://centralmayorista.walmartdigital.cl/home;400 gr;Fideos Spirali con Huevos Frescos Bolsa 400 gr;Pastas;Pastas Cortas;; $699 ;;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2689a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
264194;Talliani;Fideos Spirali con Huevos Frescos Bolsa;Alvi;Alvi.cl;400 gr;Fideos Spirali con Huevos Frescos Bolsa 400 gr;Pastas;Pastas Cortas;Normal > 3u , Oferta > 5u; $720 ; $675 ;;https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2689a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]
546573;Lucchetti;FIDEO 5 SPAGHETTI + SALSA;Alvi;Alvi.cl;400 gr;FIDEO 5 SPAGHETTI + SALSA 400 gr;Pastas;Pastas Cortas;;;; $2,490 ;https://accountecommercedev.blob.core.windows.net/products-images/images/780250022285.jpg
